City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
0,Luderitz,-26.6481,15.1594,55.29,75,0,15.12,NA,clear sky,2022-10-04 22:53:29
1,Tomatlan,19.9333,-105.25,81.55,78,55,6.2,MX,broken clouds,2022-10-04 22:53:30
2,Clyde River,70.4692,-68.5914,26.83,86,100,17.27,CA,overcast clouds,2022-10-04 22:53:30
3,Coahuayana,18.7333,-103.6833,82.67,77,69,3.98,MX,broken clouds,2022-10-04 22:53:31
4,Hamilton,39.1834,-84.5333,71.04,39,0,9.22,US,clear sky,2022-10-04 22:49:04
5,Ponta Do Sol,32.6667,-17.1,72.72,76,61,0.69,PT,broken clouds,2022-10-04 22:53:32
6,Westport,41.1415,-73.3579,57.88,88,100,8.99,US,overcast clouds,2022-10-04 22:52:06
7,Ushuaia,-54.8,-68.3,51.46,54,40,10.36,AR,scattered clouds,2022-10-04 22:51:33
8,Butaritari,3.0707,172.7902,80.89,79,13,15.08,KI,light rain,2022-10-04 22:53:33
9,Bambous Virieux,-20.3428,57.7575,70.21,83,40,6.91,MU,scattered clouds,2022-10-04 22:53:33
10,Cabo San Lucas,22.8909,-109.9124,90.61,65,0,4.88,MX,clear sky,2022-10-04 22:48:42
11,Lagoa,39.05,-27.9833,70.09,86,100,11.5,PT,light rain,2022-10-04 22:53:34
12,Codrington,-38.2667,141.9667,51.26,95,100,18.84,AU,light rain,2022-10-04 22:53:34
13,Northam,51.0333,-4.2167,61.39,93,100,21.81,GB,overcast clouds,2022-10-04 22:53:35
14,Joacaba,-27.1781,-51.5047,59.47,89,1,1.77,BR,clear sky,2022-10-04 22:53:35
15,Saskylakh,71.9167,114.0833,22.91,97,100,4.54,RU,light snow,2022-10-04 22:53:35
16,Vaini,-21.2,-175.2,82.56,78,75,5.75,TO,broken clouds,2022-10-04 22:53:36
17,Karratha,-20.7377,116.8463,71.69,37,0,4.54,AU,clear sky,2022-10-04 22:53:36
18,Yellowknife,62.456,-114.3525,39.72,60,100,11.5,CA,overcast clouds,2022-10-04 22:53:36
19,Barrow,71.2906,-156.7887,30.63,71,90,3.78,US,overcast clouds,2022-10-04 22:53:37
20,Severo-Kurilsk,50.6789,156.125,48.58,94,100,19.13,RU,light rain,2022-10-04 22:53:37
21,Yining,29.0361,114.5636,60.57,80,99,5.06,CN,overcast clouds,2022-10-04 22:53:38
22,Avarua,-21.2078,-159.775,78.85,69,20,19.57,CK,few clouds,2022-10-04 22:53:38
23,Hobart,-42.8794,147.3294,50.25,75,75,8.05,AU,broken clouds,2022-10-04 22:49:57
24,Eslov,55.8393,13.3039,57.22,90,100,11.14,SE,overcast clouds,2022-10-04 22:53:39
25,Paoua,7.2427,16.4406,67.62,96,94,2.59,CF,overcast clouds,2022-10-04 22:53:39
26,Moron,-34.6534,-58.6198,62.02,82,0,10.33,AR,clear sky,2022-10-04 22:53:40
27,Kalmunai,7.4167,81.8167,80.4,73,100,3.56,LK,overcast clouds,2022-10-04 22:53:40
28,Majene,-3.5403,118.9707,78.53,85,100,3.76,ID,overcast clouds,2022-10-04 22:53:40
29,Victoria,22.2855,114.1577,86.18,86,55,8.01,HK,broken clouds,2022-10-04 22:52:15
30,Albany,42.6001,-73.9662,53.4,70,100,3.31,US,overcast clouds,2022-10-04 22:52:54
31,Henties Bay,-22.116,14.2845,53.6,93,2,2.59,NA,clear sky,2022-10-04 22:53:41
32,Olafsvik,64.8945,-23.7142,41.13,92,100,30.33,IS,overcast clouds,2022-10-04 22:53:41
