City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Tomatlan,MX,81.55,broken clouds,19.9333,-105.25,El Salvial
3,Coahuayana,MX,82.67,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
8,Butaritari,KI,80.89,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
27,Kalmunai,LK,80.4,overcast clouds,7.4167,81.8167,VS Villa
28,Majene,ID,78.53,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
29,Victoria,HK,86.18,broken clouds,22.2855,114.1577,Mini Central
33,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
38,Acajutla,SV,81.77,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
40,Acapulco,MX,83.46,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
46,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Rosetta,EG,75.34,clear sky,31.4044,30.4164,Green Valley
54,Hilo,US,86.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
56,Barahona,DO,85.82,scattered clouds,18.2085,-71.1008,Hotel Caribe
65,Faanui,PF,77.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Atuona,PF,76.84,few clouds,-9.8,-139.0333,Villa Enata
72,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
75,Dingle,PH,78.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
87,Gopalpur,IN,79.61,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
90,San Ramon,US,85.21,clear sky,37.7799,-121.978,San Ramon Marriott
93,Mangrol,IN,79.18,broken clouds,21.1167,70.1167,Hotel The Royal Honours
95,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
100,Soyo,AO,75.36,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
105,Wanning,CN,79.32,broken clouds,18.8003,110.3967,Paradise Hotel
111,Saint George,US,88.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
113,Innisfail,AU,77.41,overcast clouds,-17.5333,146.0333,Moondarra Motel
122,Tabuk,PH,76.21,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
124,Sinnamary,GF,79.75,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
125,Akyab,MM,77.11,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
130,Batticaloa,LK,79.95,overcast clouds,7.7102,81.6924,Grand Star Guest House
134,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
138,Gusau,NG,78.49,overcast clouds,12.1628,6.6614,GUEST INN
139,Vaitape,PF,77.67,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
141,Umm Lajj,SA,85.17,clear sky,25.0213,37.2685,Moon light Furnished Units
143,Mitsamiouli,KM,75.07,few clouds,-11.3847,43.2844,Foyer ADM
149,Lompoc,US,85.01,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
151,Sao Filipe,CV,78.21,overcast clouds,14.8961,-24.4956,Hotel Xaguate
154,Camopi,GF,79.68,overcast clouds,3.1655,-52.3158,La pousada
161,Naze,JP,76.12,clear sky,28.3667,129.4833,Shishime Hotel
166,Marsh Harbour,BS,79.32,few clouds,26.5412,-77.0636,Abaco Beach Resort
167,Dano,BF,75.29,light rain,11.15,-3.0667,Auberge Phenix32-Dano
168,Sikeston,US,76.89,clear sky,36.8767,-89.5879,Drury Inn & Suites Sikeston
169,Laje,BR,77.27,few clouds,-10.1833,-40.9667,NN Pousada
170,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
171,Caborca,MX,84.97,clear sky,30.5838,-111.101,Hotel Los Lagos
178,Hithadhoo,MV,82.44,overcast clouds,-0.6,73.0833,Scoop Guest House
179,Sabang,ID,76.59,overcast clouds,5.8933,95.3214,Hotel Citra
181,Kavieng,PG,83.89,broken clouds,-2.5744,150.7967,Nusa Island Retreat
184,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
185,Kolda,SN,77.74,few clouds,12.8833,-14.95,Hôtel Hobbe Chasse
190,Cockburn Town,TC,83.91,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
202,Katsuura,JP,77.02,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
214,Kerema,PG,83.14,overcast clouds,-7.9631,145.7785,Frena Lodge
220,Lorengau,PG,83.14,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
222,Namatanai,PG,83.64,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
224,Bandarbeyla,SO,76.6,overcast clouds,9.4942,50.8122,JABIR HOTEL
225,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
232,Rancho Palos Verdes,US,88.05,clear sky,33.7445,-118.387,Terranea Resort
234,Galle,LK,77.86,overcast clouds,6.0367,80.217,Amangalla
235,Ghanzi,BW,76.39,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
237,Poso,ID,78.53,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
238,Adeje,ES,81.48,scattered clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
240,Hirara,JP,78.66,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
247,Dangriga,BZ,80.46,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
252,Yarada,IN,80.49,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
254,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
255,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
257,Catuday,PH,79.88,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
259,Puerto Escondido,MX,83.16,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
265,Samarai,PG,81.43,light rain,-10.6167,150.6667,Nuli Sapi
269,Lazaro Cardenas,MX,82.69,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
271,Kingsville,US,84.16,broken clouds,27.5159,-97.8561,Econo Lodge Kingsville
273,Garh Maharaja,PK,79.09,clear sky,30.8339,71.9053,Zaki Pansar Shop
